,Open,High,Low,Close,Volume,Date
0,1529.0,1529.9000244140625,1526.300048828125,1527.800048828125,0,2025-07-02
1,1527.9000244140625,1528.199951171875,1525.9000244140625,1527.5999755859375,105257,2025-07-02
2,1527.800048828125,1529.199951171875,1527.800048828125,1528.0999755859375,68402,2025-07-02
3,1527.9000244140625,1528.5,1524.0999755859375,1524.699951171875,72505,2025-07-02
4,1524.0,1524.800048828125,1523.199951171875,1524.0,24356,2025-07-02
5,1523.5999755859375,1524.0,1521.699951171875,1523.9000244140625,31463,2025-07-02
6,1523.800048828125,1525.5999755859375,1523.800048828125,1525.300048828125,32255,2025-07-02
7,1525.0999755859375,1525.199951171875,1524.5999755859375,1525.199951171875,15991,2025-07-02
8,1525.199951171875,1525.5,1524.0999755859375,1525.5,18359,2025-07-02
9,1524.9000244140625,1525.5,1524.5,1524.5,18150,2025-07-02
10,1524.0,1524.0,1523.5,1524.0,17405,2025-07-02
11,1524.0,1524.5,1523.5,1524.4000244140625,10923,2025-07-02
12,1523.5999755859375,1524.0,1523.199951171875,1524.0,14986,2025-07-02
13,1523.800048828125,1524.4000244140625,1523.5,1523.5999755859375,11950,2025-07-02
14,1523.699951171875,1523.699951171875,1523.199951171875,1523.4000244140625,14730,2025-07-02
15,1523.0999755859375,1523.5999755859375,1522.5999755859375,1522.5999755859375,14446,2025-07-02
16,1522.800048828125,1522.800048828125,1522.0999755859375,1522.300048828125,18685,2025-07-02
17,1522.4000244140625,1522.9000244140625,1522.4000244140625,1522.9000244140625,18213,2025-07-02
18,1522.9000244140625,1523.0,1522.5999755859375,1522.5999755859375,12633,2025-07-02
19,1521.5999755859375,1522.199951171875,1521.0,1521.800048828125,24804,2025-07-02
20,1521.800048828125,1521.800048828125,1521.300048828125,1521.5,15366,2025-07-02
21,1521.0999755859375,1522.5,1521.0999755859375,1522.199951171875,17186,2025-07-02
22,1522.5,1523.0,1522.0999755859375,1522.0999755859375,12154,2025-07-02
23,1522.0,1522.0999755859375,1522.0,1522.0,4368,2025-07-02
24,1522.0999755859375,1522.5,1522.0999755859375,1522.5,10228,2025-07-02
25,1522.4000244140625,1522.4000244140625,1521.5999755859375,1521.800048828125,13092,2025-07-02
26,1521.800048828125,1521.800048828125,1521.0,1521.0,11307,2025-07-02
27,1521.199951171875,1521.199951171875,1520.5,1520.5,17586,2025-07-02
28,1520.300048828125,1520.699951171875,1520.0999755859375,1520.0999755859375,11973,2025-07-02
29,1520.0,1520.5,1520.0,1520.4000244140625,9568,2025-07-02
30,1520.4000244140625,1520.5999755859375,1520.0999755859375,1520.4000244140625,11037,2025-07-02
31,1520.199951171875,1520.699951171875,1520.0999755859375,1520.5999755859375,8536,2025-07-02
32,1520.5999755859375,1520.5999755859375,1520.0,1520.4000244140625,8998,2025-07-02
33,1520.0,1520.0999755859375,1518.699951171875,1518.699951171875,22253,2025-07-02
34,1519.4000244140625,1520.699951171875,1518.9000244140625,1520.5,38088,2025-07-02
35,1520.5999755859375,1522.5,1520.5,1522.0999755859375,25672,2025-07-02
36,1522.4000244140625,1522.4000244140625,1521.199951171875,1521.699951171875,8751,2025-07-02
37,1521.199951171875,1521.5,1520.5,1520.800048828125,5616,2025-07-02
38,1520.300048828125,1521.0,1520.300048828125,1521.0,4806,2025-07-02
39,1520.699951171875,1521.0999755859375,1520.300048828125,1520.4000244140625,5300,2025-07-02
40,1520.4000244140625,1520.800048828125,1520.0999755859375,1520.800048828125,10695,2025-07-02
41,1520.800048828125,1520.9000244140625,1520.300048828125,1520.300048828125,5660,2025-07-02
42,1520.800048828125,1521.0,1520.300048828125,1520.5,7745,2025-07-02
43,1520.5,1520.5,1519.0999755859375,1519.5,8178,2025-07-02
44,1519.5,1519.5,1519.0,1519.0,11532,2025-07-02
45,1519.0999755859375,1519.0999755859375,1518.699951171875,1518.800048828125,12213,2025-07-02
46,1518.5999755859375,1518.5999755859375,1518.0,1518.0999755859375,13239,2025-07-02
47,1518.0999755859375,1519.0,1518.0,1518.800048828125,18358,2025-07-02
48,1518.699951171875,1519.5999755859375,1518.699951171875,1519.5999755859375,9619,2025-07-02
49,1519.699951171875,1519.699951171875,1519.5999755859375,1519.699951171875,7244,2025-07-02
50,1519.800048828125,1519.9000244140625,1519.699951171875,1519.800048828125,9240,2025-07-02
51,1519.699951171875,1520.300048828125,1519.5,1520.300048828125,11963,2025-07-02
52,1520.300048828125,1520.300048828125,1519.5,1519.699951171875,5911,2025-07-02
53,1519.5,1519.5999755859375,1519.5,1519.5999755859375,6146,2025-07-02
54,1519.699951171875,1519.9000244140625,1519.5,1519.699951171875,4775,2025-07-02
55,1519.800048828125,1520.300048828125,1519.800048828125,1520.300048828125,9663,2025-07-02
56,1520.5,1522.0999755859375,1520.4000244140625,1521.9000244140625,11725,2025-07-02
57,1521.800048828125,1522.0999755859375,1521.0999755859375,1521.5,7978,2025-07-02
58,1521.9000244140625,1521.9000244140625,1521.5,1521.5999755859375,5216,2025-07-02
59,1521.5999755859375,1521.699951171875,1521.300048828125,1521.4000244140625,3416,2025-07-02
60,1521.5,1521.5,1521.0,1521.0999755859375,10631,2025-07-02
61,1521.0999755859375,1522.4000244140625,1520.0,1522.4000244140625,31105,2025-07-02
62,1522.4000244140625,1523.5999755859375,1521.800048828125,1523.199951171875,69047,2025-07-02
63,1523.300048828125,1523.300048828125,1520.199951171875,1520.5999755859375,80808,2025-07-02
64,1521.0999755859375,1522.699951171875,1520.800048828125,1522.699951171875,22826,2025-07-02
