,Open,High,Low,Close,Volume,Date
0,2134.0,2146.0,2134.0,2142.699951171875,0,2025-07-03
1,2143.10009765625,2143.300048828125,2140.10009765625,2143.0,39939,2025-07-03
2,2143.0,2145.0,2139.699951171875,2145.0,29540,2025-07-03
3,2145.0,2147.699951171875,2145.0,2145.60009765625,118594,2025-07-03
4,2145.10009765625,2147.89990234375,2145.10009765625,2146.39990234375,20036,2025-07-03
5,2146.5,2149.39990234375,2146.300048828125,2148.60009765625,12617,2025-07-03
6,2148.60009765625,2149.300048828125,2147.699951171875,2149.10009765625,8849,2025-07-03
7,2149.300048828125,2149.89990234375,2148.39990234375,2148.39990234375,10584,2025-07-03
8,2147.60009765625,2147.60009765625,2142.10009765625,2142.10009765625,13043,2025-07-03
9,2140.800048828125,2142.60009765625,2140.800048828125,2141.10009765625,8713,2025-07-03
10,2140.89990234375,2141.39990234375,2139.5,2139.5,8167,2025-07-03
11,2138.10009765625,2140.199951171875,2137.699951171875,2140.199951171875,8452,2025-07-03
12,2138.800048828125,2139.300048828125,2133.0,2133.5,45489,2025-07-03
13,2133.5,2134.0,2131.699951171875,2131.699951171875,7918,2025-07-03
14,2131.89990234375,2132.10009765625,2128.699951171875,2129.0,33322,2025-07-03
15,2129.0,2130.5,2127.300048828125,2128.699951171875,81271,2025-07-03
16,2128.800048828125,2130.39990234375,2128.800048828125,2130.300048828125,34491,2025-07-03
17,2131.39990234375,2136.0,2131.199951171875,2135.0,17938,2025-07-03
18,2135.0,2137.300048828125,2135.0,2136.300048828125,9326,2025-07-03
19,2136.39990234375,2138.0,2135.0,2135.0,14103,2025-07-03
20,2135.0,2137.60009765625,2135.0,2137.60009765625,21500,2025-07-03
21,2136.699951171875,2138.5,2136.5,2138.10009765625,6485,2025-07-03
22,2138.5,2140.0,2138.10009765625,2139.5,8613,2025-07-03
23,2139.89990234375,2140.300048828125,2139.89990234375,2140.0,4071,2025-07-03
24,2140.10009765625,2141.10009765625,2140.0,2140.60009765625,12818,2025-07-03
25,2140.5,2141.300048828125,2140.0,2140.10009765625,21996,2025-07-03
26,2140.10009765625,2140.10009765625,2140.0,2140.0,8657,2025-07-03
27,2140.0,2141.800048828125,2140.0,2140.300048828125,5782,2025-07-03
28,2140.89990234375,2141.300048828125,2140.39990234375,2141.199951171875,3854,2025-07-03
29,2141.300048828125,2141.300048828125,2140.199951171875,2141.0,2146,2025-07-03
30,2140.39990234375,2141.60009765625,2140.39990234375,2141.60009765625,7085,2025-07-03
31,2142.0,2143.89990234375,2142.0,2142.60009765625,9924,2025-07-03
32,2142.60009765625,2143.300048828125,2141.199951171875,2141.300048828125,4671,2025-07-03
33,2141.10009765625,2141.10009765625,2140.0,2140.60009765625,10644,2025-07-03
34,2140.5,2142.0,2140.5,2141.800048828125,2386,2025-07-03
35,2141.800048828125,2142.0,2141.0,2141.0,3133,2025-07-03
36,2141.0,2142.199951171875,2141.0,2142.0,3793,2025-07-03
37,2141.199951171875,2141.39990234375,2140.0,2140.0,15569,2025-07-03
38,2138.10009765625,2140.60009765625,2136.89990234375,2140.60009765625,54355,2025-07-03
39,2140.0,2141.39990234375,2140.0,2140.699951171875,153685,2025-07-03
40,2141.199951171875,2141.199951171875,2140.0,2140.60009765625,9611,2025-07-03
41,2140.60009765625,2141.10009765625,2140.0,2140.60009765625,3880,2025-07-03
42,2140.60009765625,2141.0,2140.0,2140.39990234375,6037,2025-07-03
43,2140.39990234375,2140.39990234375,2140.0,2140.10009765625,21093,2025-07-03
44,2140.10009765625,2140.199951171875,2140.0,2140.10009765625,4348,2025-07-03
45,2140.39990234375,2141.0,2140.0,2140.5,14904,2025-07-03
46,2140.699951171875,2141.39990234375,2140.0,2140.0,5191,2025-07-03
47,2140.0,2140.199951171875,2139.699951171875,2139.89990234375,31283,2025-07-03
48,2140.0,2140.699951171875,2139.89990234375,2140.10009765625,2804,2025-07-03
49,2140.10009765625,2140.5,2140.10009765625,2140.199951171875,1653,2025-07-03
50,2140.199951171875,2140.5,2140.0,2140.0,2874,2025-07-03
51,2140.0,2140.0,2139.60009765625,2140.0,8470,2025-07-03
52,2139.60009765625,2139.89990234375,2139.0,2139.60009765625,2268,2025-07-03
53,2139.89990234375,2139.89990234375,2137.800048828125,2138.60009765625,30225,2025-07-03
54,2138.300048828125,2138.300048828125,2135.800048828125,2135.89990234375,15269,2025-07-03
55,2135.800048828125,2136.199951171875,2135.199951171875,2136.199951171875,2610,2025-07-03
56,2136.300048828125,2137.0,2136.0,2136.0,47608,2025-07-03
57,2136.0,2136.10009765625,2134.199951171875,2134.699951171875,32725,2025-07-03
58,2134.800048828125,2135.800048828125,2134.800048828125,2135.199951171875,2256,2025-07-03
59,2135.10009765625,2135.5,2132.5,2133.0,8711,2025-07-03
60,2133.10009765625,2134.699951171875,2133.0,2133.89990234375,3063,2025-07-03
61,2133.89990234375,2136.199951171875,2133.89990234375,2136.10009765625,3601,2025-07-03
62,2136.89990234375,2137.199951171875,2136.0,2136.699951171875,6867,2025-07-03
63,2136.60009765625,2137.39990234375,2136.60009765625,2137.0,3517,2025-07-03
64,2137.0,2138.0,2137.0,2137.699951171875,7349,2025-07-03
65,2137.5,2137.800048828125,2136.800048828125,2137.699951171875,3035,2025-07-03
66,2137.89990234375,2140.5,2137.89990234375,2140.39990234375,11045,2025-07-03
67,2140.10009765625,2141.39990234375,2139.60009765625,2140.10009765625,10853,2025-07-03
68,2140.199951171875,2141.39990234375,2140.10009765625,2140.60009765625,7301,2025-07-03
